Stock Code,Month,avg_close,total_volume
SAME,2020-05,117.53333333333333,87798900
SFAN,2020-05,675.0,51100
SULI,2020-05,50.0,1400
AUTO,2020-01,1248.2608695652175,33424100
BTPN,2020-01,3144.782608695652,734400
DIGI,2020-01,1763.0434782608695,49100
ALKA,2020-02,327.57894736842104,72300
MTLA,2020-02,489.42105263157896,156600
MLIA,2020-03,503.05,103369900
WSKT,2020-03,652.35,1126536300
DEFI,2020-04,1860.7142857142858,95000
NASA,2020-04,203.0952380952381,2291700
RAJA,2020-04,96.80952380952381,681928200
SRTG,2020-04,3014.7619047619046,2467000
AMAN,2020-05,199.66666666666666,3959400
SMGR,2020-05,8446.666666666666,112784000
BUDI,2020-01,100.52173913043478,16092500
IPCM,2020-01,174.43478260869566,1516100
KOTA,2020-01,731.304347826087,577994800
MSIN,2020-01,403.2173913043478,61171000
SRSN,2020-01,62.30434782608695,125569700
DMND,2020-01,1163.75,32984700
AKPI,2020-02,366.42105263157896,58200
BCAP,2020-02,147.05263157894737,54082500
INCI,2020-02,396.3157894736842,459000
LSIP,2020-02,1128.421052631579,145056700
RMBA,2020-02,299.7894736842105,111300
AMIN,2020-03,357.7,513800
DMND,2020-03,957.5,2423800
LRNA,2020-03,148.15,632200
UCID,2020-03,1323.0,41836000
BOGA,2020-04,1546.4285714285713,53392700
DIGI,2020-04,1698.095238095238,18200
EAST,2020-04,59.23809523809524,64534600
FORU,2020-04,90.76190476190476,93000
MBAP,2020-04,1568.095238095238,356600
ADRO,2020-05,993.6666666666666,1179707500
CPRO,2020-01,50.0,115400
MASA,2020-01,480.2608695652174,327900
TIFA,2020-01,221.47826086956522,812500
HERO,2020-02,890.5263157894736,7349800
JSPT,2020-02,900.0,500
INTP,2020-03,12265.0,66114500
MAGP,2020-03,50.0,4000
PPRO,2020-03,50.1,428510300
STAR,2020-03,140.65,3224100
ALTO,2020-04,395.3333333333333,2147400
ANJT,2020-04,514.7619047619048,144100
ELSA,2020-04,196.52380952380952,1936769100
FAST,2020-04,1060.7142857142858,59900
IFSH,2020-04,352.4761904761905,107500
MLIA,2020-04,562.6666666666666,128849400
PDES,2020-04,726.1904761904761,8200
BEST,2020-05,102.8,632173600
HRUM,2020-05,1252.3333333333333,1621700
IIKP,2020-05,50.0,0
KBAG,2020-05,295.73333333333335,510829100
MPRO,2020-05,841.3333333333334,10500
OKAS,2020-05,76.0,79963100
SINI,2020-05,1122.0,90700
MDIA,2020-01,50.391304347826086,155873200
SMSM,2020-01,1417.391304347826,56923100
BIMA,2020-03,50.0,1500
MYTX,2020-03,55.3,730800
PWON,2020-03,394.3,938159900
TCPI,2020-03,5249.25,166483000
ZINC,2020-03,250.05,793886300
ABDA,2020-04,5575.0,0
ALDO,2020-04,432.0,1088900
BINA,2020-05,997.0,4426100
BKSW,2020-05,65.4,866600
BRAM,2020-05,4972.0,200
DVLA,2020-05,2222.6666666666665,628100
MIKA,2020-05,2208.0,62507600
NZIA,2020-05,136.33333333333334,318700
SGRO,2020-05,2454.0,403900
TAMA,2020-05,158.33333333333334,1951600
ARNA,2020-01,430.2608695652174,16602400
GWSA,2020-01,146.2608695652174,2375100
LTLS,2020-01,612.8260869565217,1808000
STTP,2020-01,4445.217391304348,77200
SURE,2020-01,2928.695652173913,650700
BMRI,2020-02,7723.684210526316,1094898800
CLPI,2020-02,727.6315789473684,341200
INTP,2020-02,16325.0,32546600
KBLI,2020-02,459.6842105263158,52364000
PURA,2020-02,203.47368421052633,1172184100
BATA,2020-03,619.5,169600
DGIK,2020-03,50.0,105600
DNAR,2020-03,253.6,11600
INDR,2020-03,1714.25,1195000
BJBR,2020-04,860.7142857142857,262558800
SMMT,2020-04,87.14285714285714,1616500
UNSP,2020-04,52.904761904761905,18192500
GTBO,2020-05,78.86666666666666,532100
IGAR,2020-05,237.6,2050300
WIIM,2020-05,122.66666666666667,124151400
AKKU,2020-01,50.0,182400
BELL,2020-01,538.0434782608696,4409900
MTRA,2020-01,288.4347826086956,517800
FAST,2020-02,1473.157894736842,3634200
MBSS,2020-02,416.0,10898600
TBIG,2020-02,1195.2631578947369,546316700
DART,2020-03,278.6,34800
GLOB,2020-03,325.7,34300
MSKY,2020-03,1416.75,258300
PTRO,2020-03,1118.75,24182800
SULI,2020-03,50.05,5026100
ASDM,2020-04,934.7619047619048,12200
BMSR,2020-04,53.57142857142857,676100
CTBN,2020-04,2408.095238095238,200
VICO,2020-04,99.95238095238095,158700
BHAT,2020-04,269.5,218629700
BWPT,2020-05,77.33333333333333,128940400
GHON,2020-05,1366.6666666666667,38000
ICBP,2020-05,9370.0,359315100
PNSE,2020-05,552.0,400
PURA,2020-05,78.0,1224494200
RIMO,2020-05,50.0,0
SRAJ,2020-05,131.86666666666667,2338800
SRIL,2020-05,151.73333333333332,486744100
UNIT,2020-05,144.0,292500
AIMS,2020-01,180.0,0
ASRI,2020-01,227.2173913043478,188748300
BPFI,2020-01,1310.0,61000
DNAR,2020-01,235.82608695652175,30500
BBYB,2020-02,295.05263157894734,485200
BTPN,2020-02,2899.4736842105262,277800
CASA,2020-02,410.3157894736842,3473700
PURE,2020-02,149.57894736842104,399393200
WTON,2020-02,381.36842105263156,88209500
BSWD,2020-03,1750.0,0
PRIM,2020-03,315.5,112000
UNIC,2020-04,2957.6190476190477,15400
ELSA,2020-05,202.53333333333333,652078200
PPRE,2020-05,170.26666666666668,357812500
SSMS,2020-02,792.6315789473684,1063286700
ALDO,2020-01,402.95652173913044,559000
IATA,2020-01,50.0,5466600
BBCA,2020-02,33007.89473684211,387221200
DEAL,2020-02,137.05263157894737,1411247700
FISH,2020-02,2716.842105263158,4300
JKON,2020-02,479.05263157894734,207000
MTDL,2020-02,1699.7368421052631,30031700
NISP,2020-02,843.9473684210526,392900
SULI,2020-02,50.78947368421053,28533600
BIPI,2020-04,50.0,155400
BNLI,2020-04,1186.1904761904761,341043000
ELTY,2020-04,50.0,549100
ASRI,2020-05,111.93333333333334,436480500
DFAM,2020-05,388.53333333333336,109500
MSIN,2020-05,308.8,3571100
PSKT,2020-05,50.0,900
BBMD,2020-01,2450.8695652173915,21000
KBLM,2020-01,270.7826086956522,5109200
KPIG,2020-01,130.3913043478261,289277200
PANR,2020-01,322.5217391304348,19633000
PYFA,2020-01,196.30434782608697,188400
AMRT,2020-02,805.0,8846500
NELY,2020-02,130.26315789473685,616700
INOV,2020-03,280.4,4472900
LPLI,2020-04,78.95238095238095,471200
BLTA,2020-05,50.0,28700
INDR,2020-05,2160.0,187700
JIHD,2020-05,478.8666666666667,432900
SMMA,2020-05,11926.666666666666,104900
INDF,2020-01,8103.260869565217,152490800
MYRX,2020-01,50.0,5379600
RISE,2020-01,541.304347826087,21376600
BWPT,2020-02,108.10526315789474,694994800
CENT,2020-02,69.36842105263158,112836300
PTBA,2020-02,2326.315789473684,411421200
TALF,2020-02,260.2105263157895,21700
RALS,2020-03,661.65,213429500
TRIO,2020-03,426.0,0
ASJT,2020-04,107.14285714285714,14358800
BUDI,2020-04,87.9047619047619,5857400
IPCC,2020-05,320.8,76964100
TUGU,2020-05,2885.3333333333335,722500
CSAP,2020-01,442.5217391304348,6159600
INOV,2020-01,320.69565217391306,44501400
KBRI,2020-01,50.0,0
BAYU,2020-02,1117.1052631578948,53700
MLBI,2020-02,15092.105263157895,652800
RICY,2020-02,141.05263157894737,568300
TFCO,2020-02,356.63157894736844,1900
ASSA,2020-03,398.05,93074500
LPKR,2020-04,141.66666666666666,296471200
LRNA,2020-04,148.9047619047619,11700
MDLN,2020-04,83.85714285714286,1716709100
SMGR,2020-04,7276.190476190476,213073900
GJTL,2020-05,358.93333333333334,160759000
INDF,2020-05,6316.666666666667,263482900
KBLI,2020-05,400.6666666666667,48927400
MDKA,2020-05,1269.0,846698400
MLBI,2020-05,9983.333333333334,631900
PCAR,2020-05,217.6,10500
BBRM,2020-01,50.0,207400
NRCA,2020-01,370.2608695652174,19585300
TFCO,2020-01,521.7391304347826,68100
LION,2020-02,444.5263157894737,17500
SMMT,2020-02,106.89473684210526,2429300
BUDI,2020-03,84.85,4060100
RICY,2020-03,131.0,439300
IATA,2020-04,50.0,57400
KOPI,2020-04,566.1904761904761,576600
MARK,2020-04,343.8095238095238,34884200
PANI,2020-04,72.80952380952381,519400
ARNA,2020-02,446.2105263157895,17008800
DUCK,2020-02,1191.0526315789473,3911000
TPIA,2020-02,8747.368421052632,72912000
UNIT,2020-02,171.1578947368421,14800
ARKA,2020-03,1606.75,340100
ERAA,2020-03,1255.25,360137100
INDF,2020-03,6365.0,272785500
BISI,2020-04,805.952380952381,3520700
INPC,2020-04,50.095238095238095,7048900
MTWI,2020-04,51.04761904761905,2759200
TMAS,2020-04,95.19047619047619,104879300
BNBA,2020-05,284.4,1198400
INPC,2020-05,51.4,5511200
RELI,2020-05,275.73333333333335,70700
TRIN,2020-05,256.4,260911200
MLIA,2020-01,579.5217391304348,131229100
AMFG,2020-02,3249.4736842105262,265800
ASJT,2020-02,119.47368421052632,5438700
SAFE,2020-02,195.94736842105263,4377500
FIRE,2020-03,129.4,300610100
LPIN,2020-03,174.45,120500
PADI,2020-03,50.0,135700
SIMP,2020-03,231.9,114177900
INPP,2020-04,718.5714285714286,917000
LEAD,2020-04,50.0,232100
MFMI,2020-04,558.8571428571429,2333300
RISE,2020-05,424.93333333333334,6203000
ZONE,2020-05,416.1333333333333,1798900
MREI,2020-01,4236.521739130435,2714800
BSSR,2020-02,1983.9473684210527,63400
DMAS,2020-02,273.36842105263156,501678000
WOMF,2020-02,273.05263157894734,7928500
BABP,2020-03,50.0,62000
KOIN,2020-03,120.25,35000
LMSH,2020-03,273.05,46200
MPPA,2020-03,86.95,42928100
MTPS,2020-03,243.8,741200
POLL,2020-03,10127.5,9841200
PURA,2020-03,108.6,1125181000
STTP,2020-03,6326.25,12000
BALI,2020-04,667.8571428571429,220500
BRMS,2020-04,50.0,44265100
MREI,2020-04,5579.761904761905,700
TINS,2020-04,478.5238095238095,308206400
JTPE,2020-05,738.3333333333334,3652900
APLI,2020-01,161.2608695652174,2759400
BBYB,2020-01,271.9130434782609,4695200
LCKM,2020-01,330.17391304347825,560600
AKRA,2020-02,3051.0526315789475,158458000
IATA,2020-03,50.0,39100
IPTV,2020-03,381.5,45235700
LIFE,2020-03,5551.25,164000
MEDC,2020-03,463.9,763080600
SINI,2020-03,1236.5,16600
ARKA,2020-04,1472.6190476190477,39100
DEAL,2020-04,121.9047619047619,230766600
FUJI,2020-04,103.38095238095238,1179500
GJTL,2020-04,331.14285714285717,30242400
SHID,2020-04,3438.5714285714284,18200
SINI,2020-04,1315.4761904761904,12300
BIKA,2020-05,200.86666666666667,94800
BOSS,2020-01,174.91304347826087,141812800
NUSA,2020-01,50.0,1261000
SKRN,2020-01,523.695652173913,5289100
SMBR,2020-01,393.39130434782606,239476900
WAPO,2020-01,79.95652173913044,488600
CSRA,2020-01,408.4117647058824,146732000
CTTH,2020-02,53.0,4227200
ESSA,2020-02,223.0,63513400
ASJT,2020-03,106.8,2919400
INDX,2020-03,50.85,345400
KOPI,2020-03,592.25,556800
PTPP,2020-03,766.3,966938100
BABP,2020-04,50.0,83900
MAMI,2020-04,50.0,357300
BABP,2020-05,50.0,55000
DAYA,2020-05,597.3333333333334,10600
DWGL,2020-05,226.26666666666668,62200
PBID,2020-05,897.0,186100
RAJA,2020-05,93.26666666666667,95457800
SBAT,2020-05,116.66666666666667,161285100
DAYA,2020-01,273.5652173913044,135200
LPPF,2020-01,3973.0434782608695,256104600
MPMX,2020-01,667.1739130434783,24527100
WOOD,2020-01,571.304347826087,200540700
MIDI,2020-02,1272.8947368421052,1866000
TOBA,2020-02,355.05263157894734,241200
BTEK,2020-03,50.0,108600
MTDL,2020-03,1214.0,22232200
ADRO,2020-04,996.9047619047619,985478200
BTON,2020-04,155.04761904761904,580100
GWSA,2020-04,92.52380952380952,3687900
BACA,2020-05,415.6,733100
BGTG,2020-05,50.0,358500
EPMT,2020-05,1818.6666666666667,838300
LUCK,2020-05,325.46666666666664,9051800
APII,2020-01,197.43478260869566,775600
BLUE,2020-01,506.60869565217394,2505500
GDST,2020-01,72.21739130434783,190116300
IPTV,2020-01,429.30434782608694,218471500
KOBX,2020-01,117.04347826086956,16502200
LAND,2020-01,870.4347826086956,816900
MNCN,2020-01,1636.0869565217392,591731500
VINS,2020-01,120.0,6149200
AMAR,2020-01,467.8235294117647,149178300
HOME,2020-02,50.0,0
INDS,2020-03,1540.25,825700
SCMA,2020-03,844.75,585566900
SKLT,2020-03,1610.0,0
VINS,2020-03,103.25,1005800
DFAM,2020-04,396.6666666666667,270900
MPRO,2020-04,1015.0,18400
MBSS,2020-05,307.8666666666667,10560300
PANS,2020-05,733.6666666666666,13130900
BBLD,2020-01,416.0,1100
CFIN,2020-01,264.5217391304348,6481800
AHAP,2020-02,53.1578947368421,3711100
AIMS,2020-02,180.0,0
BNII,2020-02,193.8421052631579,9499500
IPTV,2020-02,383.6842105263158,85452000
PLAS,2020-02,50.0,0
PMJS,2020-02,125.78947368421052,27861600
BTEL,2020-03,50.0,0
CAMP,2020-03,162.6,28331200
FAST,2020-03,1031.25,3622600
MBAP,2020-03,1666.5,598000
NZIA,2020-03,419.0,2783600
PSGO,2020-03,108.3,2254500
TDPM,2020-04,133.95238095238096,20915600
ARII,2020-05,629.3333333333334,133500
BAJA,2020-05,51.93333333333333,3899800
PEGE,2020-05,172.2,119700
PEHA,2020-05,1019.6666666666666,1253800
SATU,2020-05,50.2,4300
FIRE,2020-01,253.34782608695653,522516100
JAST,2020-01,1635.6521739130435,191749600
KRAS,2020-01,293.1304347826087,197466900
SWAT,2020-01,97.73913043478261,180496400
YULE,2020-01,229.8695652173913,691000
ARMY,2020-02,50.0,0
BOSS,2020-02,113.89473684210526,48189000
MDKI,2020-02,179.8421052631579,2918200
NIPS,2020-02,282.0,0
TOTO,2020-02,251.05263157894737,4121100
VRNA,2020-02,120.52631578947368,22500
WTON,2020-03,263.15,300451500
RDTX,2020-04,4775.238095238095,49100
STTP,2020-04,10188.095238095239,13300
TGRA,2020-04,72.33333333333333,213994800
BUVA,2020-05,57.2,5208200
DEAL,2020-05,98.6,67905300
IDPR,2020-05,118.46666666666667,20167100
BIPP,2020-01,50.17391304347826,4623400
GIAA,2020-01,451.9130434782609,515031000
MLBI,2020-01,15529.347826086956,74800
PRAS,2020-01,135.7826086956522,22200
TBMS,2020-01,820.4347826086956,16900
WICO,2020-01,540.7826086956521,101600
SIDO,2020-02,1240.2631578947369,84592700
SMRU,2020-02,50.0,0
CLAY,2020-03,2649.5,9709000
KPAS,2020-03,50.1,4866300
NIPS,2020-03,282.0,0
TNCA,2020-03,237.9,629400
APOL,2020-04,50.0,0
INTD,2020-04,213.61904761904762,18800
SSTM,2020-04,486.4761904761905,14700
TKIM,2020-04,4910.238095238095,96284300
TOTL,2020-04,293.04761904761904,19918800
KBAG,2020-04,233.9375,410967500
AGAR,2020-05,458.0,2630600
AMRT,2020-05,883.0,3288800
LCGP,2020-05,114.0,0
MOLI,2020-05,1126.6666666666667,301100
VINS,2020-05,111.6,344400
BCIC,2020-01,450.0,0
DFAM,2020-01,426.69565217391306,154352900
KBLV,2020-01,286.0,530500
PUDP,2020-01,311.30434782608694,21400
SILO,2020-01,6698.913043478261,8174300
DIGI,2020-02,1796.578947368421,13200
LINK,2020-02,3574.2105263157896,33109400
NASA,2020-02,200.8421052631579,42500
PSKT,2020-02,50.0,1400
RIMO,2020-02,50.0,1000
AGRO,2020-03,107.15,139814700
KDSI,2020-03,775.5,393900
PLAS,2020-03,50.0,0
PTSP,2020-03,4550.0,440000
TMAS,2020-03,71.95,64124300
AALI,2020-04,6090.476190476191,69480500
HDIT,2020-04,615.4761904761905,3300
IKBI,2020-05,214.4,202600
OASA,2020-05,361.06666666666666,16300
PTBA,2020-05,1953.0,966605100
SAMF,2020-05,411.73333333333335,4923400
TRST,2020-05,350.8,1100
APIC,2020-01,700.8695652173913,361019600
BMAS,2020-01,344.17391304347825,565300
CINT,2020-01,275.1304347826087,1327100
SCMA,2020-01,1483.695652173913,580989000
MGRO,2020-02,811.3157894736842,26955300
NUSA,2020-03,50.0,48100
HITS,2020-04,600.4761904761905,58300
JSKY,2020-04,96.85714285714286,354436800
AMFG,2020-05,3114.6666666666665,24000
ANJT,2020-05,475.8666666666667,54300
ARNA,2020-05,398.8,5675600
HELI,2020-05,185.86666666666667,114200
IATA,2020-05,50.0,436100
ITIC,2020-05,2125.0,34239900
CPIN,2020-01,7036.95652173913,137027800
HKMU,2020-01,213.7391304347826,130949900
INAI,2020-01,426.69565217391306,167700
OPMS,2020-01,97.1304347826087,97354500
WINS,2020-01,116.91304347826087,64315700
CTRA,2020-02,930.2631578947369,238516000
MAGP,2020-02,50.0,100
BOLA,2020-03,178.15,1429600
INDO,2020-03,64.15,9173900
ISSP,2020-03,117.1,86063100
WOWS,2020-03,69.15,118576500
BEEF,2020-04,218.33333333333334,27440700
BSSR,2020-04,1715.952380952381,104400
ADMF,2020-05,6428.333333333333,2964500
BMRI,2020-05,4082.0,1319627100
ASJT,2020-01,125.21739130434783,12243900
HRTA,2020-01,228.08695652173913,36817300
LAPD,2020-03,50.0,1000
TINS,2020-03,464.15,343688500
SURE,2020-05,2882.6666666666665,606200
BBKP,2020-01,240.43478260869566,220254100
CASS,2020-01,572.8260869565217,114100
NELY,2020-01,137.91304347826087,86500
SFAN,2020-01,1010.2173913043479,3531000
TRUS,2020-01,311.6521739130435,58400
SMCB,2020-02,977.8947368421053,849600
DEAL,2020-03,175.8,861475100
MBSS,2020-03,300.9,22658900
MYOH,2020-03,1126.5,3156800
SMGR,2020-03,8120.0,165123800
SMMT,2020-03,95.5,1000200
CPRI,2020-04,50.0,262900
JIHD,2020-04,454.76190476190476,1067200
KINO,2020-04,2436.904761904762,39248700
MTDL,2020-04,1118.095238095238,12706800
REAL,2020-04,71.80952380952381,7970902800
SBAT,2020-04,132.5,298999800
CASS,2020-05,320.3333333333333,4172300
GSMF,2020-05,113.0,100
WTON,2020-05,227.33333333333334,160330900
BTPS,2020-01,4417.391304347826,90376600
JSKY,2020-01,196.17391304347825,442782700
DEWA,2020-02,50.0,18700
GEMS,2020-02,2550.0,0
KLBF,2020-02,1380.2631578947369,457054400
PTPP,2020-02,1370.0,398638400
VINS,2020-02,111.21052631578948,2252000
ANDI,2020-03,50.0,413500
TPMA,2020-03,297.2,15200
GOLD,2020-04,185.33333333333334,1112000
KOTA,2020-04,503.0,13268500
UNVR,2020-04,7280.952380952381,325863900
BBCA,2020-05,25260.0,451872900
BIMA,2020-05,50.0,1500
DLTA,2020-05,4249.333333333333,737200
DPNS,2020-05,194.26666666666668,1300
LINK,2020-05,2598.6666666666665,12578700
SONA,2020-05,5000.0,500
TKIM,2020-05,4452.0,196645300
POLU,2020-05,775.3333333333334,84400
ADMF,2020-01,10260.869565217392,3089200
CLAY,2020-02,2823.157894736842,14139500
IMPC,2020-02,1093.157894736842,5800400
