typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","586","PAK","Pakistan","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","180099500","false","-1","N/A",,"false","180099500","false",,"false","62949167",,"62949167","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54187","false","-1","N/A",,"false","54187","false",,"false","503125",,"503125","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","699","IND","India","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34167500","false","-1","N/A",,"false","34167500","false",,"false","13671676",,"13671676","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","509374194","false","-1","N/A",,"false","509374194","false",,"false","202563058",,"202563058","0","true","false",
"C","A","20150101","2015","52","2015","360","IDN","Indonesia","M","Import","764","THA","Thailand","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126745740","false","-1","N/A",,"false","126745740","false",,"false","66772380",,"66772380","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1139694454","false","-1","N/A",,"false","1139694454","false",,"false","230922810",,"230922810","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","32","ARG","Argentina","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","307863745","false","-1","N/A",,"false","307863745","false",,"false","59874956",,"59874956","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","519246772","false","-1","N/A",,"false","519246772","false",,"false","103638693",,"103638693","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","156","CHN","China","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","33","false","-1","N/A",,"false","33","false",,"false","174",,"174","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","360","IDN","Indonesia","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24600","false","-1","N/A",,"false","24600","false",,"false","4475",,"4475","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","458","MYS","Malaysia","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","207927","false","-1","N/A",,"false","207927","false",,"false","55498",,"55498","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1365","false","-1","N/A",,"false","1365","false",,"false","15108",,"15108","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","699","IND","India","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","815401","false","-1","N/A",,"false","815401","false",,"false","923346",,"923346","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","702","SGP","Singapore","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","813450","false","-1","N/A",,"false","813450","false",,"false","245466",,"245466","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","764","THA","Thailand","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7030672","false","-1","N/A",,"false","7030672","false",,"false","3419289",,"3419289","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","842","USA","USA","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","303690489","false","-1","N/A",,"false","303690489","false",,"false","62745805",,"62745805","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","0","W00","World","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1283178527","false","-1","N/A",,"false","1283178527","false",,"false","531841557",,"531841557","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","104","MMR","Myanmar","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16650000","false","-1","N/A",,"false","16650000","false",,"false","6382760",,"6382760","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","156","CHN","China","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1271863","false","-1","N/A",,"false","1271863","false",,"false","4220683",,"4220683","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93000","false","-1","N/A",,"false","93000","false",,"false","283469",,"283469","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","458","MYS","Malaysia","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","720710","false","-1","N/A",,"false","720710","false",,"false","293540",,"293540","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","490","S19","Other Asia, nes","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","148","false","-1","N/A",,"false","148","false",,"false","821",,"821","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","586","PAK","Pakistan","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","134832500","false","-1","N/A",,"false","134832500","false",,"false","49124112",,"49124112","0","true","false",
"C","A","20160101","2016","52","2016","360","IDN","Indonesia","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1396","false","-1","N/A",,"false","1396","false",,"false","7165",,"7165","0","true","false",
